# N	pid	stat 	E 	Px	Py	Pz	Eta	Phi
10 -421 0 13.0189 8.91116 -9.27191 0.798922 0.0620852 5.47795
29 -421 0 9.03016 -7.46434 0.970271 -4.62691 -0.581386 3.01233
23 -421 0 5.74792 4.84828 0.737879 2.34745 0.462053 0.151035
42 -421 0 8.37867 -3.2249 1.10433 7.42326 1.5204 2.81167
45 -421 0 6.79987 1.10637 0.672249 -6.40976 -2.30282 0.546003
16 -421 0 5.49969 3.29442 -2.74913 -2.891 -0.631044 5.58777
13 -421 0 10.3233 -5.69228 8.21167 1.8051 0.179692 2.17694
34 -421 0 8.83689 -6.74438 4.94934 -2.15183 -0.25447 2.50851
46 -421 0 2.54676 0.561175 -1.45568 -0.757876 -0.468463 5.08034
46 -421 0 6.05265 -1.70571 4.88866 2.51961 0.469219 1.9065
55 -421 0 7.57668 2.096 -4.14801 -5.6859 -1.03089 5.18027
66 -421 0 7.47454 5.18485 -4.97898 -0.847406 -0.117614 5.51804
39 -421 0 16.4389 10.4894 5.11281 -11.4277 -0.866667 0.453539
37 -421 0 2.01529 0.682147 0.342517 -0.0323185 -0.0423273 0.465339
47 -421 0 4.13769 -0.0568323 -1.20117 3.49237 1.78772 4.66511
7 -421 0 12.6227 8.84402 7.75786 4.17791 0.348061 0.720067
45 -421 0 5.7386 2.36453 4.55632 -1.76146 -0.336741 1.0921
49 -421 0 6.84376 -0.00922281 2.11353 6.23639 1.80273 1.57516
19 -421 0 2.83749 0.451081 -1.54457 1.4087 0.790519 4.99653
26 -421 0 4.26864 -2.02229 2.00223 2.5778 0.813191 2.36118
19 -421 0 6.88342 -0.610635 5.56022 -3.55173 -0.598569 1.68018
37 -421 0 5.15747 3.30353 3.16098 1.48886 0.320136 0.763352
17 -421 0 17.1803 -10.9717 1.20003 13.0334 1.00367 3.03265
87 -421 0 2.64853 0.516663 1.80616 -0.0886617 -0.0471781 1.29218
71 -421 0 4.83512 2.96115 -2.38101 -2.33733 -0.581761 5.60596
32 -421 0 6.12758 -4.27019 -3.87095 0.922369 0.159359 3.87799
6 -421 0 12.1993 10.6272 -1.57056 5.47192 0.489574 6.13646
7 -421 0 15.5268 7.66333 -13.3502 0.806856 0.0523921 5.23349
22 -421 0 5.3707 1.86116 -4.39102 -1.6192 -0.333308 5.11329
10 -421 0 15.6138 -4.06521 -14.6278 -3.13283 -0.204912 4.44132
43 -421 0 2.37476 1.2433 -0.645216 0.44685 0.313831 5.80449
9 -421 0 21.4285 -6.25103 -18.9259 7.64454 0.37471 4.39338
55 -421 0 17.5324 -8.53894 -3.1554 -14.8674 -1.26644 3.49556
7 -421 0 3.98312 -0.650539 -2.3155 2.56958 0.9289 4.4385
32 -421 0 4.14167 -0.959092 2.57808 2.47172 0.807809 1.92695
21 -421 0 6.45364 -5.76581 1.17018 1.88621 0.315348 2.94136
13 -421 0 15.6691 10.2203 5.40018 -10.4129 -0.809477 0.486089
5 -421 0 2.80178 1.51445 -1.13453 0.889695 0.454374 5.64024
11 -421 0 9.41671 6.525 -4.55583 -4.67606 -0.558151 5.67366
33 -421 0 15.7619 -11.8706 4.31956 9.24073 0.678304 2.7926
7 -421 0 5.54321 4.38248 -0.567496 -2.77872 -0.593365 6.15441
52 -421 0 9.2483 4.86858 2.70995 7.14192 1.06728 0.507912
72 -421 0 2.41592 0.477689 1.08908 -0.971938 -0.746102 1.15745
77 -421 0 2.46015 0.638667 1.46289 0.163393 0.102184 1.15916
34 -421 0 11.7813 -0.751686 -2.54522 11.326 2.15767 4.42522
57 -421 0 11.5506 -3.96807 -7.42578 7.68439 0.81827 4.22163
9 -421 0 6.57178 -2.10597 -4.43099 3.95498 0.737464 4.26871
100 -421 0 2.30212 -0.728794 0.981972 0.571548 0.451849 2.20927
17 -421 0 6.27403 2.09091 -5.5166 -1.03971 -0.175335 5.07468
49 -421 0 18.5219 8.37553 6.35849 15.1328 1.16048 0.649347
12 -421 0 9.11295 2.71225 4.4639 -7.23083 -1.12885 1.02481
138 -421 0 2.41549 -1.37595 -0.584497 -0.349308 -0.231583 3.54329
142 -421 0 6.70642 3.47176 -5.39502 -0.582162 -0.0906181 5.28419
15 -421 0 3.87378 2.76486 -1.97079 -0.0036108 -0.00106345 5.66392
75 -421 0 4.74977 3.53262 2.29537 -1.15522 -0.270889 0.57621
46 -421 0 3.60171 2.88106 -0.299042 -1.05102 -0.355329 6.17976
